"problemName","problemType","numCustomers","UAVspeed","UAVendurance","numTrucks","numUAVs","solverType","heuristicSwitch","timeLimit","initialHeuristicSoln","isOptimal","objVal","numTruckCust","numUAVcust","runTime"
"20140813T111701","small",10,NA,30,3,2,"BNP",1,1800,130.858,0,123.964,9,1,10.256
"20140813T111701","small",10,NA,30,3,4,"DFJ",NA,1800,NA,1,123.964,10,0,20.443
"20140813T111701","small",10,NA,30,3,4,"BNP",0,1800,130.858,0,123.964,8,2,1200.197
"20140813T111701","small",10,NA,30,3,4,"BNP",1,1800,130.858,0,123.964,9,3,8.363
"20140813T111701","small",10,NA,30,3,6,"DFJ",NA,1800,NA,1,123.964,9,1,19.275
"20140813T111701","small",10,NA,30,3,6,"BNP",0,1800,130.858,0,123.964,9,1,1200.089
"20140813T111701","small",10,NA,30,3,6,"BNP",1,1800,130.858,0,123.964,8,2,7.481
"20140813T111710","small",10,NA,30,1,2,"DFJ",NA,1800,NA,1,146.243,8,2,0.036
"20140813T111710","small",10,NA,30,1,2,"BNP",0,1800,155.117,1,146.243,8,2,0.198
"20140813T111710","small",10,NA,30,1,2,"BNP",1,1800,155.117,0,146.243,8,2,0.005
"20140813T111710","small",10,NA,30,1,4,"DFJ",NA,1800,NA,1,146.243,7,3,0.03
"20140813T111710","small",10,NA,30,1,4,"BNP",0,1800,146.243,1,146.243,7,3,0.155
"20140813T111710","small",10,NA,30,1,4,"BNP",1,1800,146.243,0,146.243,7,3,0.004
"20140813T111710","small",10,NA,30,1,6,"DFJ",NA,1800,NA,1,146.243,8,2,0.033
"20140813T111710","small",10,NA,30,1,6,"BNP",0,1800,146.243,1,146.243,7,3,0.132
"20140813T111710","small",10,NA,30,1,6,"BNP",1,1800,146.243,0,146.243,7,3,0.006
"20140813T111710","small",10,NA,30,2,2,"DFJ",NA,1800,NA,1,104.248,9,1,1.418
"20140813T111710","small",10,NA,30,2,2,"BNP",0,1800,109.751,1,104.248,7,4,179.427
"20140813T111710","small",10,NA,30,2,2,"BNP",1,1800,109.751,0,104.248,8,3,1.006
"20140813T111710","small",10,NA,30,2,4,"DFJ",NA,1800,NA,1,104.248,9,1,1.323
"20140813T111710","small",10,NA,30,2,4,"BNP",0,1800,109.751,1,104.248,7,5,138.014
"20140813T111710","small",10,NA,30,2,4,"BNP",1,1800,109.751,0,104.248,7,3,0.713
"20140813T111710","small",10,NA,30,2,6,"DFJ",NA,1800,NA,1,104.248,8,2,1.845
"20140813T111710","small",10,NA,30,2,6,"BNP",0,1800,109.751,1,104.248,7,3,154.258
"20140813T111710","small",10,NA,30,2,6,"BNP",1,1800,109.751,0,104.248,7,3,0.495
"20140813T111710","small",10,NA,30,3,2,"DFJ",NA,1800,NA,1,82.7465,8,2,2.245
"20140813T111710","small",10,NA,30,3,2,"BNP",0,1800,108.342,1,82.7465,7,3,0.593
"20140813T111710","small",10,NA,30,3,2,"BNP",1,1800,108.342,0,82.7465,7,3,0.007
"20140813T111710","small",10,NA,30,3,4,"DFJ",NA,1800,NA,1,82.7465,8,2,2.542
"20140813T111710","small",10,NA,30,3,4,"BNP",0,1800,108.342,1,82.7465,7,3,0.501
"20140813T111710","small",10,NA,30,3,4,"BNP",1,1800,108.342,0,82.7465,7,3,0.006
"20140813T111710","small",10,NA,30,3,6,"DFJ",NA,1800,NA,1,82.7465,8,2,2.678
"20140813T111710","small",10,NA,30,3,6,"BNP",0,1800,108.342,1,82.7465,7,4,0.401
"20140813T111710","small",10,NA,30,3,6,"BNP",1,1800,108.342,0,82.7465,7,4,0.009
"20140813T111712","small",10,NA,30,1,2,"DFJ",NA,1800,NA,1,75.2462,7,3,0.067
"20140813T111712","small",10,NA,30,1,2,"BNP",0,1800,75.8862,1,75.2462,6,4,0.777
"20140813T111712","small",10,NA,30,1,2,"BNP",1,1800,75.8862,0,75.8862,8,2,0.004
"20140813T111712","small",10,NA,30,1,4,"DFJ",NA,1800,NA,1,75.2462,6,4,0.098
"20140813T111712","small",10,NA,30,1,4,"BNP",0,1800,75.2462,1,75.2462,7,3,0.919
"20140813T111712","small",10,NA,30,1,4,"BNP",1,1800,75.2462,0,75.2462,7,3,0.003
"20140813T111712","small",10,NA,30,1,6,"DFJ",NA,1800,NA,1,75.2462,7,3,0.073
"20140813T111712","small",10,NA,30,1,6,"BNP",0,1800,75.2462,1,75.2462,7,3,0.395
"20140813T111712","small",10,NA,30,1,6,"BNP",1,1800,75.2462,0,75.2462,7,3,0.005
"20140813T111712","small",10,NA,30,2,2,"DFJ",NA,1800,NA,1,62.4749,7,3,9.457
"20140813T111712","small",10,NA,30,2,2,"BNP",0,1800,64.2854,1,62.4749,6,4,51.389
"20140813T111712","small",10,NA,30,2,2,"BNP",1,1800,64.2854,0,62.4749,7,3,0.083
"20140813T111712","small",10,NA,30,2,4,"DFJ",NA,1800,NA,1,62.4749,7,3,10.324
"20140813T111712","small",10,NA,30,2,4,"BNP",0,1800,67.4062,1,62.4749,8,2,65.75
"20140813T111712","small",10,NA,30,2,4,"BNP",1,1800,67.4062,0,62.4749,7,4,0.099
"20140813T111712","small",10,NA,30,2,6,"DFJ",NA,1800,NA,1,62.4749,7,3,7.394
"20140813T111712","small",10,NA,30,2,6,"BNP",0,1800,62.4749,1,62.4749,7,3,81.955
"20140813T111712","small",10,NA,30,2,6,"BNP",1,1800,62.4749,0,62.4749,7,3,0.163
"20140813T111712","small",10,NA,30,3,2,"DFJ",NA,1800,NA,1,57.6749,9,1,122.892
"20140813T111712","small",10,NA,30,3,2,"BNP",0,1800,58.3862,1,57.6749,7,4,385.646
"20140813T111712","small",10,NA,30,3,2,"BNP",1,1800,58.3862,0,57.6749,7,3,2.983
"20140813T111712","small",10,NA,30,3,4,"DFJ",NA,1800,NA,1,57.6749,9,1,111.155
"20140813T111712","small",10,NA,30,3,4,"BNP",0,1800,58.3862,1,57.6749,8,5,490.835
"20140813T111712","small",10,NA,30,3,4,"BNP",1,1800,58.3862,0,57.6749,7,3,4.292
"20140813T111712","small",10,NA,30,3,6,"DFJ",NA,1800,NA,1,57.6749,8,2,79.528
"20140813T111712","small",10,NA,30,3,6,"BNP",0,1800,58.3862,1,57.6749,7,3,304.331
"20140813T111712","small",10,NA,30,3,6,"BNP",1,1800,58.3862,0,57.6749,6,9,2.185
"20140813T111722","small",10,NA,30,1,2,"DFJ",NA,1800,NA,1,132.85,7,3,0.015
"20140813T111722","small",10,NA,30,1,2,"BNP",0,1800,132.85,1,132.85,8,2,0.229
"20140813T111722","small",10,NA,30,1,2,"BNP",1,1800,132.85,0,132.85,8,2,0.004
"20140813T111722","small",10,NA,30,1,4,"DFJ",NA,1800,NA,1,132.85,7,3,0.009
"20140813T111722","small",10,NA,30,1,4,"BNP",0,1800,132.85,1,132.85,8,2,0.194
"20140813T111722","small",10,NA,30,1,4,"BNP",1,1800,132.85,0,132.85,8,2,0.004
"20140813T111722","small",10,NA,30,1,6,"DFJ",NA,1800,NA,1,132.85,7,3,0.025
"20140813T111722","small",10,NA,30,1,6,"BNP",0,1800,132.85,1,132.85,8,2,0.118
"20140813T111722","small",10,NA,30,1,6,"BNP",1,1800,132.85,0,132.85,8,2,0.007
"20140813T111722","small",10,NA,30,2,2,"DFJ",NA,1800,NA,1,91.0837,7,3,1.041
"20140813T111722","small",10,NA,30,2,2,"BNP",0,1800,91.0838,1,91.0838,8,2,57.378
"20140813T111722","small",10,NA,30,2,2,"BNP",1,1800,91.0838,0,91.0838,8,2,0.093
"20140813T111722","small",10,NA,30,2,4,"DFJ",NA,1800,NA,1,91.0837,7,3,1.116
"20140813T111722","small",10,NA,30,2,4,"BNP",0,1800,91.0838,1,91.0838,7,3,96.72
"20140813T111722","small",10,NA,30,2,4,"BNP",1,1800,91.0838,0,91.0838,7,3,0.281
"20140813T111722","small",10,NA,30,2,6,"DFJ",NA,1800,NA,1,91.0838,8,2,1.685
"20140813T111722","small",10,NA,30,2,6,"BNP",0,1800,91.0838,1,91.0838,7,3,52.061
"20140813T111722","small",10,NA,30,2,6,"BNP",1,1800,91.0838,0,91.0838,7,3,0.209
"20140813T111722","small",10,NA,30,3,2,"DFJ",NA,1800,NA,1,68.4439,9,1,1.121
"20140813T111722","small",10,NA,30,3,2,"BNP",0,1800,68.4439,1,68.4439,8,2,71.586
"20140813T111722","small",10,NA,30,3,2,"BNP",1,1800,68.4439,0,68.4439,8,2,0.31
"20140813T111722","small",10,NA,30,3,4,"DFJ",NA,1800,NA,1,68.4439,8,2,0.729
"20140813T111722","small",10,NA,30,3,4,"BNP",0,1800,74.6509,1,68.4439,7,4,71.595
"20140813T111722","small",10,NA,30,3,4,"BNP",1,1800,74.6509,0,68.4439,7,3,0.506
"20140813T111722","small",10,NA,30,3,6,"DFJ",NA,1800,NA,1,68.4439,8,2,1.543
